"Compound","Compound ID","Accepted?","Adducts","Formula","Score","Fragmentation Score","Mass Error (ppm)","Isotope Similarity","Theoretical Isotope Distribution","Link","Description","Neutral mass (Da)","m/z","Charge","Retention time (min)","Max Fold Change" 
"5.10_196.0613m/z","CSID4573944",,"M+FA-H","C8H9NO2","39","0","-1.45797162247837","96.8224292845546","100 - 9.2 - 0.786","http://nonlinear.com/redirect/outbound?p=chemspider&param=4573944","4-hydroxyphenylacetaldoxime",,"196.06130662396","1","5.1017","2990.73860347984"
"5.10_196.0613m/z","CSID5824",,"M-H","C9H11NO4","39.4","0","-1.11100304756671","98.2278806599013","100 - 10.4 - 1.31","http://nonlinear.com/redirect/outbound?p=chemspider&param=5824","Levodopa",,"196.06130662396","1","5.1017","2990.73860347984"
"5.10_196.0613m/z","CSID58971",,"M+FA-H","C8H9NO2","39","0","-1.45797162247837","96.8224292845546","100 - 9.2 - 0.786","http://nonlinear.com/redirect/outbound?p=chemspider&param=58971","4-Aminomethylbenzoic acid",,"196.06130662396","1","5.1017","2990.73860347984"
"5.10_196.0613m/z","CSID59723",,"M+FA-H","C8H9NO2","39","0","-1.45797162247837","96.8224292845546","100 - 9.2 - 0.786","http://nonlinear.com/redirect/outbound?p=chemspider&param=59723","4-Methylamino-benzoic acid",,"196.06130662396","1","5.1017","2990.73860347984"
"5.10_196.0613m/z","CSID60420",,"M+FA-H","C8H9NO2","39","0","-1.45797162247837","96.8224292845546","100 - 9.2 - 0.786","http://nonlinear.com/redirect/outbound?p=chemspider&param=60420","N-Methylanthranilate",,"196.06130662396","1","5.1017","2990.73860347984"
"5.10_196.0613m/z","CSID62402",,"M+FA-H","C8H9NO2","39","0","-1.45797162247837","96.8224292845546","100 - 9.2 - 0.786","http://nonlinear.com/redirect/outbound?p=chemspider&param=62402","Ethyl nicotinate",,"196.06130662396","1","5.1017","2990.73860347984"
"5.10_196.0613m/z","CSID70478",,"M+FA-H","C8H9NO2","39","0","-1.45797162247837","96.8224292845546","100 - 9.2 - 0.786","http://nonlinear.com/redirect/outbound?p=chemspider&param=70478","3-Methylanthranilic acid",,"196.06130662396","1","5.1017","2990.73860347984"
"5.10_196.0613m/z","CSID89701",,"M+FA-H","C8H9NO2","39","0","-1.45797162247837","96.8224292845546","100 - 9.2 - 0.786","http://nonlinear.com/redirect/outbound?p=chemspider&param=89701","L-Phenylglycine",,"196.06130662396","1","5.1017","2990.73860347984"
"5.13_212.9794m/z","CSID168173",,"M+FA-H","C3H5O6P","38.1","0","-7.02502627162427","98.5027030674731","100 - 3.53 - 1.28","http://nonlinear.com/redirect/outbound?p=chemspider&param=168173","2,3-Dioxopropyl dihydrogen phosphate",,"212.979398789395","1","5.12813333333333","Infinity"
"5.13_212.9794m/z","CSID21230563",,"M-H","C4H7O8P","38.2","0","-5.50862388938641","97.5420684769764","100 - 4.71 - 1.73","http://nonlinear.com/redirect/outbound?p=chemspider&param=21230563","(R)-3-hydroxy-2-oxo-4-phosphonooxybutanoic acid",,"212.979398789395","1","5.12813333333333","Infinity"
"5.13_212.9794m/z","CSID388862",,"M+FA-H","C3H5O6P","38.1","0","-7.02502627162427","98.5027030674731","100 - 3.53 - 1.28","http://nonlinear.com/redirect/outbound?p=chemspider&param=388862","Phosphopyruvic acid",,"212.979398789395","1","5.12813333333333","Infinity"
"5.13_212.9794m/z","CSID389730",,"M-H","C4H7O8P","38.2","0","-5.50862388938641","97.5420684769764","100 - 4.71 - 1.73","http://nonlinear.com/redirect/outbound?p=chemspider&param=389730","(3S)-3-Hydroxy-2-oxo-4-(phosphonooxy)butanoic acid",,"212.979398789395","1","5.12813333333333","Infinity"
"5.13_212.9794m/z","CSID61261",,"M-H","C7H6N2O2S2","36.7","0","-1.80281276256953","85.6916578220501","100 - 10 - 9.91 - 0.889 - 0.321","http://nonlinear.com/redirect/outbound?p=chemspider&param=61261","1,3-Benzothiazole-2-sulfonamide",,"212.979398789395","1","5.12813333333333","Infinity"
"5.13_212.9794m/z","CSID980",,"M+FA-H","C3H5O6P","38.1","0","-7.02502627162427","98.5027030674731","100 - 3.53 - 1.28","http://nonlinear.com/redirect/outbound?p=chemspider&param=980","Phosphoenolpyruvic acid",,"212.979398789395","1","5.12813333333333","Infinity"
"5.20_311.1980m/z","CSID58540",,"M-H","C16H28N2O4","38.7","0","1.29888987419993","95.2654663059148","100 - 18.5 - 2.44 - 0.241","http://nonlinear.com/redirect/outbound?p=chemspider&param=58540","Oseltamivir",,"311.198024087777","1","5.19708333333333","Infinity"
"5.21_259.1181m/z","CSID12791",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=12791","(Hydroxyethyl)methacrylate",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID13865426",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=13865426","Ethyl acetoacetate",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID140384",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=140384","2-ketocaproic acid",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID17383",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=17383","5-Oxohexanoic acid",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID20162",,"M-H","C13H16N4O2","36.3","0","-7.54279742282224","89.7278551239879","100 - 15.8 - 1.58 - 0.118","http://nonlinear.com/redirect/outbound?p=chemspider&param=20162","Diaveridine",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID388419",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388419","(3S)-3-Methyl-2-oxopentanoic acid",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID388488",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388488","(3R)-3-Hydroxy-4,4-dimethyldihydro-2(3H)-furanone",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID388555",,"M+FA-H","C9H16N3O3+","37.4","0","5.86408747122985","93.8571176051153","100 - 11.1 - 1.18","http://nonlinear.com/redirect/outbound?p=chemspider&param=388555","2-{[(2S)-1-Methoxy-1-oxo-2-hexanyl]amino}-2-oxoethanediazonium",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID388729",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388729","3-Oxohexanoic acid",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID388982",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388982","7-Hydroxy-2-oxepanone",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID389038",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=389038","4-Methyl-3-oxopentanoic acid",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID389218",,"M+FA-H","C9H16N3O3+","37.4","0","5.86408747122985","93.8571176051153","100 - 11.1 - 1.18","http://nonlinear.com/redirect/outbound?p=chemspider&param=389218","Methyl N-acetyl-2-diazonionorleucinate",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID389709",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=389709","(R)-3-methyl-2-oxovaleric acid",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID389748",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=389748","6-Oxohexanoic acid",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID391345",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=391345","3-Hydroxy-2-oxepanone",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID4578",,"M-H2O-H","C13H18N4O3","36.3","0","-7.03392031836599","89.4919395962949","100 - 15.8 - 1.79 - 0.152","http://nonlinear.com/redirect/outbound?p=chemspider&param=4578","Pentoxifylline",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID46",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=46","UNII:787T50HCIV",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID570885",,"M-H2O-H","C13H18N4O3","36.3","0","-7.03392031836599","89.4919395962949","100 - 15.8 - 1.79 - 0.152","http://nonlinear.com/redirect/outbound?p=chemspider&param=570885","N~2~-Benzoyl-D-arginine",,"259.118080480329","1","5.2147","5.69421610495862"
"5.21_259.1181m/z","CSID69",,"2M-H","C6H10O3","39","0","-2.3799532859379","98.0326849076653","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=69","Ketoleucine",,"259.118080480329","1","5.2147","5.69421610495862"
"5.23_180.0325m/z","CSID27113",,"M+FA-H","C4H9NO2S","36","0","-8.20347233503118","89.2448791506462","100 - 5.67 - 5.06 - 0.245","http://nonlinear.com/redirect/outbound?p=chemspider&param=27113","mecysteine",,"180.032495110832","1","5.23233333333333","265467.483948177"
"5.23_180.0325m/z","CSID64300",,"M-H","C5H11NO4S","36.6","0","-6.11164274255515","89.8120619790591","100 - 6.85 - 5.54 - 0.333","http://nonlinear.com/redirect/outbound?p=chemspider&param=64300","Acamprosate",,"180.032495110832","1","5.23233333333333","265467.483948177"
"5.23_180.0325m/z","CSID64426",,"M-H2O-H","C8H10ClN3O","33.7","0","-4.53536070747776","73.7049231741296","100 - 9.9 - 32.6 - 3.2 - 0.208","http://nonlinear.com/redirect/outbound?p=chemspider&param=64426","N-(2-Aminoethyl)-5-chloro-2-pyridinecarboxamide",,"180.032495110832","1","5.23233333333333","265467.483948177"
"5.23_180.0325m/z","CSID757",,"M+FA-H","C4H9NO2S","36","0","-8.20347233503118","89.2448791506462","100 - 5.67 - 5.06 - 0.245","http://nonlinear.com/redirect/outbound?p=chemspider&param=757","DL-Homocysteine",,"180.032495110832","1","5.23233333333333","265467.483948177"
"5.23_180.0325m/z","CSID82666",,"M+FA-H","C4H9NO2S","36","0","-8.20347233503118","89.2448791506462","100 - 5.67 - 5.06 - 0.245","http://nonlinear.com/redirect/outbound?p=chemspider&param=82666","L-Homocysteine",,"180.032495110832","1","5.23233333333333","265467.483948177"
"5.25_201.0763m/z","CSID35563",,"M-H","C10H10N4O","37.1","0","-9.50305090550572","95.6801902155596","100 - 12.4 - 0.917","http://nonlinear.com/redirect/outbound?p=chemspider&param=35563","Metamiton",,"201.076267139548","1","5.24995","24.2602556466997"
"5.25_201.0763m/z","CSID88226",,"M-H","C9H14O5","38","0","-2.86231518803236","93.1444017450688","100 - 10.1 - 1.48 - 0.115","http://nonlinear.com/redirect/outbound?p=chemspider&param=88226","ethyl ethoxalylpropionate",,"201.076267139548","1","5.24995","24.2602556466997"
"5.28_96.9870m/z","CSID7346",,"M+Cl","BH3O3","22.1","0","1.60131680612508","12.3606241136584","24.8 - 100 - 0.302 - 0.617","http://nonlinear.com/redirect/outbound?p=chemspider&param=7346","Boric acid",,"96.9870256097051","1","5.27638333333333","Infinity"
"5.29_216.9089m/z","CSID26408",,"M+FA-H","BaH2O2","20","0","-0.138322153827585","0.0611689657911474","0.148 - 0 - 0.141 - 0 - 3.37 - 9.19 - 11 - 15.7 - 100 - 0.164 - 0.411","http://nonlinear.com/redirect/outbound?p=chemspider&param=26408","Barium hydroxide",,"216.908900090939","1","5.28518333333333","Infinity"
"5.29_215.0918m/z","CSID3129",,"M-H2O-H","C11H14N4O2","37.7","0","-8.64911658649785","98.0040323463961","100 - 13.6 - 1.27","http://nonlinear.com/redirect/outbound?p=chemspider&param=3129","Epirizole",,"215.091813020794","1","5.294","87.7081416441414"
"5.29_215.0918m/z","CSID75385",,"M+FA-H","C9H14O3","38.1","0","-4.04980772409498","95.076778645199","100 - 10 - 1.06","http://nonlinear.com/redirect/outbound?p=chemspider&param=75385","2-(Diethoxymethyl)furan",,"215.091813020794","1","5.294","87.7081416441414"
"5.35_228.1603m/z","CSID107811",,"M+FA-H","C11H21NO","39.3","0","-0.904611283155925","97.7690740883687","100 - 12.5 - 0.927","http://nonlinear.com/redirect/outbound?p=chemspider&param=107811","(2,7-Dimethyloctahydro-1H-cyclopenta[c]pyridin-4-yl)methanol",,"228.16034517931","1","5.34533333333333","2391.25573454533"
"5.36_145.0864m/z","CSID126",,"M+FA-H","C6H12O","38.3","0","-5.91903585830156","98.3769061094884","100 - 6.67 - 0.393","http://nonlinear.com/redirect/outbound?p=chemspider&param=126","4-Methylpentanal",,"145.086424440721","1","5.36295","8.60877532148486"
"5.36_145.0864m/z","CSID21105914",,"M+FA-H","C6H12O","38.3","0","-5.91903585830156","98.3769061094884","100 - 6.67 - 0.393","http://nonlinear.com/redirect/outbound?p=chemspider&param=21105914","(3Z)-Hex-3-en-1-ol",,"145.086424440721","1","5.36295","8.60877532148486"
"5.36_145.0864m/z","CSID4444178",,"M+FA-H","C6H12O","38.3","0","-5.91903585830156","98.3769061094884","100 - 6.67 - 0.393","http://nonlinear.com/redirect/outbound?p=chemspider&param=4444178","(2E)-2-Ethyl-2-buten-1-ol",,"145.086424440721","1","5.36295","8.60877532148486"
"5.36_145.0864m/z","CSID7621",,"M+FA-H","C6H12O","38.3","0","-5.91903585830156","98.3769061094884","100 - 6.67 - 0.393","http://nonlinear.com/redirect/outbound?p=chemspider&param=7621","4-Methylpentan-2-one",,"145.086424440721","1","5.36295","8.60877532148486"
"5.36_145.0864m/z","CSID7678",,"M+FA-H","C6H12O","38.3","0","-5.91903585830156","98.3769061094884","100 - 6.67 - 0.393","http://nonlinear.com/redirect/outbound?p=chemspider&param=7678","Cyclohexanol",,"145.086424440721","1","5.36295","8.60877532148486"
"5.36_145.0864m/z","CSID8329711",,"M-H2O-H","C7H16O4","38.9","0","-3.61012639293467","98.8828540992966","100 - 7.91 - 1.09","http://nonlinear.com/redirect/outbound?p=chemspider&param=8329711","2,2'-[1,2-Propanediylbis(oxy)]diethanol",,"145.086424440721","1","5.36295","8.60877532148486"
"5.38_323.1333m/z","CSID2284618",,"2M-H","C7H14O2S","35.3","0","-7.35162814258621","84.7652645659386","100 - 8.61 - 5.26 - 0.395","http://nonlinear.com/redirect/outbound?p=chemspider&param=2284618","7-Sulfanylheptanoic acid",,"323.133254589831","1","5.38056666666667","46.9735854255372"
"5.41_180.0299m/z","CSID26511",,"M-H","C8H7NO4","38.9","0","-1.79401154690086","96.7985788971636","100 - 9.25 - 1.2","http://nonlinear.com/redirect/outbound?p=chemspider&param=26511","DIBOA",,"180.029904784624","1","5.407","Infinity"
"5.41_180.0299m/z","CSID389728",,"M-H","C8H7NO4","38.9","0","-1.79401154690086","96.7985788971636","100 - 9.25 - 1.2","http://nonlinear.com/redirect/outbound?p=chemspider&param=389728","5-Formyl-3-hydroxy-2-methylisonicotinic acid",,"180.029904784624","1","5.407","Infinity"
"5.41_180.0299m/z","CSID4444466",,"M-H2O-H","C8H9NO5","38.9","0","-1.60310715001763","96.5824482951283","100 - 9.31 - 1.41 - 0.105","http://nonlinear.com/redirect/outbound?p=chemspider&param=4444466","clavulanic acid",,"180.029904784624","1","5.407","Infinity"
"5.41_180.0299m/z","CSID4444478",,"M-H2O-H","C8H9NO5","38.9","0","-1.60310715001763","96.5824482951283","100 - 9.31 - 1.41 - 0.105","http://nonlinear.com/redirect/outbound?p=chemspider&param=4444478","(2R,3E,5R)-3-(2-Hydroxyethylidene)-7-oxo-4-oxa-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",,"180.029904784624","1","5.407","Infinity"
"5.42_370.2338m/z","CSID58922",,"M+Cl","C24H33N","36.7","0","9.27393651124878","93.9059409698684","100 - 26.7 - 3.42 - 0.281","http://nonlinear.com/redirect/outbound?p=chemspider&param=58922","droprenilamine",,"370.233802491937","1","5.42463333333333","191.320571076055"
"5.43_405.3052m/z","CSID4445370",,"M-H2O-H","C25H44O5","35.7","0","9.8717878810097","89.1026796569602","100 - 27.7 - 4.73 - 0.601","http://nonlinear.com/redirect/outbound?p=chemspider&param=4445370","Isopropyl unoprostone",,"405.305225665957","1","5.43343333333333","Infinity"
"5.43_405.4450m/z","CSID303871",,"M-H2O-H","C29H60O","33.7","0","-3.62914124517828","72.5461637986563","100 - 32.1 - 5.19 - 0.564","http://nonlinear.com/redirect/outbound?p=chemspider&param=303871","(10S)-10-Nonacosanol",,"405.445035438677","1","5.43343333333333","Infinity"
"5.46_345.0867m/z","CSID10914",,"2M-H","C10H7NO2","38.4","0","-3.90189433473834","96.6877797444418","100 - 11.3 - 0.995","http://nonlinear.com/redirect/outbound?p=chemspider&param=10914","2-Nitronaphthalene",,"345.086741140444","1","5.45986666666667","12.0194232262347"
"5.46_345.0867m/z","CSID13278",,"2M-H","C5H8ClN5","34.2","0","1.03894548776847","72.1765246674604","100 - 7.33 - 32.2 - 2.35","http://nonlinear.com/redirect/outbound?p=chemspider&param=13278","Deisopropylatrazine",,"345.086741140444","1","5.45986666666667","12.0194232262347"
"5.46_345.0867m/z","CSID27326",,"M-H","C12H18N4O6S","38","0","-1.96023678926797","92.3269289021296","100 - 15.7 - 6.9 - 0.918 - 0.146","http://nonlinear.com/redirect/outbound?p=chemspider&param=27326","Oryzalin",,"345.086741140444","1","5.45986666666667","12.0194232262347"
"5.46_345.0867m/z","CSID6588",,"2M-H","C10H7NO2","38.4","0","-3.90189433473834","96.6877797444418","100 - 11.3 - 0.995","http://nonlinear.com/redirect/outbound?p=chemspider&param=6588","1-Nitronaphthalene",,"345.086741140444","1","5.45986666666667","12.0194232262347"
"5.46_345.0867m/z","CSID6857",,"2M-H","C10H7NO2","38.4","0","-3.90189433473834","96.6877797444418","100 - 11.3 - 0.995","http://nonlinear.com/redirect/outbound?p=chemspider&param=6857","Quinaldic acid",,"345.086741140444","1","5.45986666666667","12.0194232262347"
"5.46_345.0867m/z","CSID87754",,"M-H2O-H","C20H16N2O5","37.2","0","-3.69326466825387","90.1477389908839","100 - 22.7 - 3.49 - 0.403","http://nonlinear.com/redirect/outbound?p=chemspider&param=87754","(S)-10-hydroxycamptothecin",,"345.086741140444","1","5.45986666666667","12.0194232262347"
"5.46_345.0867m/z","CSID9826",,"2M-H","C10H7NO2","38.4","0","-3.90189433473834","96.6877797444418","100 - 11.3 - 0.995","http://nonlinear.com/redirect/outbound?p=chemspider&param=9826","4-Quinolinecarboxylic acid",,"345.086741140444","1","5.45986666666667","12.0194232262347"
"5.49_243.1717m/z","CSID15694",,"M+FA-H","C11H22N2O","39.2","0","1.2755005013459","97.5153469419929","100 - 12.9 - 0.974","http://nonlinear.com/redirect/outbound?p=chemspider&param=15694","3-Cyclooctyl-1,1-dimethylurea",,"243.171673640039","1","5.4863","9965.5833340688"
"5.49_243.1717m/z","CSID85053",,"M-H","C12H24N2O3","55.7","83.8","1.04051681437134","95.9407512374966","100 - 14.1 - 1.54 - 0.124","http://nonlinear.com/redirect/outbound?p=chemspider&param=85053","Leu-Leu",,"243.171673640039","1","5.4863","9965.5833340688"
"5.49_243.1717m/z","CSID871",,"M-H","C12H24N2O3","55.7","83.8","1.04051681437134","95.9407512374966","100 - 14.1 - 1.54 - 0.124","http://nonlinear.com/redirect/outbound?p=chemspider&param=871","6-[(6-Aminohexanoyl)amino]hexanoic acid",,"243.171673640039","1","5.4863","9965.5833340688"
"5.50_181.9914m/z","CSID4959",,"M-H","C7H5NO3S","38.3","0","-1.59919496982356","93.6219449899532","100 - 8.91 - 5.49 - 0.429","http://nonlinear.com/redirect/outbound?p=chemspider&param=4959","Saccharin",,"181.991438916907","1","5.50238333333333","Infinity"
"5.50_181.9914m/z","CSID8410",,"M-H2O-H","C7H7NO4S","38.3","0","-1.50720721135194","93.4874864581314","100 - 8.97 - 5.7 - 0.451","http://nonlinear.com/redirect/outbound?p=chemspider&param=8410","carzenide",,"181.991438916907","1","5.50238333333333","Infinity"
"5.54_215.0017m/z","CSID389320",,"M-H2O-H","C12H10OS2","35.3","0","9.53284983367089","87.1699175780821","100 - 14.7 - 10.3 - 1.33 - 0.349","http://nonlinear.com/redirect/outbound?p=chemspider&param=389320","4-(2,2'-Bithiophen-5-yl)-3-butyn-1-ol",,"215.001692731808","1","5.53763333333333","Infinity"
"5.54_215.0017m/z","CSID4533332",,"M-H2O-H","C9H14OS3","36","0","-4.88054393976217","85.4626428425735","100 - 12.3 - 14.5 - 1.61 - 0.788","http://nonlinear.com/redirect/outbound?p=chemspider&param=4533332","(E)-ajoene",,"215.001692731808","1","5.53763333333333","Infinity"
"5.54_215.0017m/z","CSID55957",,"M-H2O-H","C10H12Cl2O2","29.5","0","-8.14091307253567","56.587630507455","100 - 11 - 64.9 - 7.11 - 10.8 - 1.17 - 0.1","http://nonlinear.com/redirect/outbound?p=chemspider&param=55957","1,4-Bis[(chloromethoxy)methyl]benzene",,"215.001692731808","1","5.53763333333333","Infinity"
"5.54_215.0017m/z","CSID8056824",,"M-H2O-H","C9H14OS3","36","0","-4.88054393976217","85.4626428425735","100 - 12.3 - 14.5 - 1.61 - 0.788","http://nonlinear.com/redirect/outbound?p=chemspider&param=8056824","(Z)-ajoene",,"215.001692731808","1","5.53763333333333","Infinity"
"5.56_203.0918m/z","CSID151611",,"M+FA-H","C8H14O3","37.9","0","-4.61691964399712","94.9442328950633","100 - 8.93 - 0.968","http://nonlinear.com/redirect/outbound?p=chemspider&param=151611","3-Oxo-2-propylpentanoic acid",,"203.091771961325","1","5.55525","8.16789684204661"
"5.56_203.0918m/z","CSID208322",,"M+FA-H","C8H14O3","37.9","0","-4.61691964399712","94.9442328950633","100 - 8.93 - 0.968","http://nonlinear.com/redirect/outbound?p=chemspider&param=208322","Ethyl 3-oxohexanoate",,"203.091771961325","1","5.55525","8.16789684204661"
"5.56_203.0918m/z","CSID2962072",,"M+FA-H","C8H14O3","37.9","0","-4.61691964399712","94.9442328950633","100 - 8.93 - 0.968","http://nonlinear.com/redirect/outbound?p=chemspider&param=2962072","4-Oxo-2-propylpentanoic acid",,"203.091771961325","1","5.55525","8.16789684204661"
"5.56_203.0918m/z","CSID3627",,"M-H2O-H","C10H14N4O2","37.5","0","-9.30126089710976","97.9296721980651","100 - 12.5 - 1.13","http://nonlinear.com/redirect/outbound?p=chemspider&param=3627","3-Isobutyl-1-methylxanthine",,"203.091771961325","1","5.55525","8.16789684204661"
"5.56_203.0918m/z","CSID389348",,"M-H","C9H16O5","38.3","0","-3.56985531954646","95.4465765787642","100 - 10.1 - 1.49 - 0.116","http://nonlinear.com/redirect/outbound?p=chemspider&param=389348","Diethyl (2R,3R)-2-hydroxy-3-methylsuccinate",,"203.091771961325","1","5.55525","8.16789684204661"
"5.56_203.0918m/z","CSID389349",,"M-H","C9H16O5","38.3","0","-3.56985531954646","95.4465765787642","100 - 10.1 - 1.49 - 0.116","http://nonlinear.com/redirect/outbound?p=chemspider&param=389349","Diethyl (2R,3S)-2-hydroxy-3-methylsuccinate",,"203.091771961325","1","5.55525","8.16789684204661"
"5.56_203.0918m/z","CSID389825",,"M-H","C5H12N6O3","36.7","0","9.58560117722646","94.0694867580042","100 - 7.85 - 0.891","http://nonlinear.com/redirect/outbound?p=chemspider&param=389825","1,3-Bis[(carbamoylamino)methyl]urea",,"203.091771961325","1","5.55525","8.16789684204661"
"5.56_203.0918m/z","CSID63555",,"M-H2O-H","C10H14N4O2","37.5","0","-9.30126089710976","97.9296721980651","100 - 12.5 - 1.13","http://nonlinear.com/redirect/outbound?p=chemspider&param=63555","Morinamide",,"203.091771961325","1","5.55525","8.16789684204661"
"5.58_170.9968m/z","CSID39327",,"M+Cl","C6H4N2O2","39.2","0","0.782571568433353","96.944393448204","100 - 7.34 - 0.644","http://nonlinear.com/redirect/outbound?p=chemspider&param=39327","eniluracil",,"170.996790751084","1","5.58168333333333","Infinity"
"5.58_170.9968m/z","CSID6252",,"M+FA-H","C2H6O4S","38.5","0","-0.731110165276673","93.6365828969993","100 - 3.19 - 5.38 - 0.134","http://nonlinear.com/redirect/outbound?p=chemspider&param=6252","dimethylsulfate",,"170.996790751084","1","5.58168333333333","Infinity"
"5.58_170.9968m/z","CSID7578",,"M+FA-H","C2H6O4S","38.5","0","-0.731110165276673","93.6365828969993","100 - 3.19 - 5.38 - 0.134","http://nonlinear.com/redirect/outbound?p=chemspider&param=7578","Isethionic acid",,"170.996790751084","1","5.58168333333333","Infinity"
"5.59_143.0345m/z","CSID10499",,"2M-H","C3H4O2","37.3","0","-3.32416827395828","90.5290393910764","100 - 3.37 - 0.45","http://nonlinear.com/redirect/outbound?p=chemspider&param=10499","Malondialdehyde",,"143.034496747316","1","5.5905","20.8879796282106"
"5.59_143.0345m/z","CSID112421",,"M-H2O-H","C6H10O5","37.9","0","-3.01218248572485","92.9022703287216","100 - 6.79 - 1.22","http://nonlinear.com/redirect/outbound?p=chemspider&param=112421","1,5-Anhydro-D-fructose",,"143.034496747316","1","5.5905","20.8879796282106"
"5.59_143.0345m/z","CSID12461",,"2M-H","C3H4O2","37.3","0","-3.32416827395828","90.5290393910764","100 - 3.37 - 0.45","http://nonlinear.com/redirect/outbound?p=chemspider&param=12461","Oxirane-2-carbaldehyde",,"143.034496747316","1","5.5905","20.8879796282106"
"5.59_143.0345m/z","CSID1600",,"M-H2O-H","C6H10O5","37.9","0","-3.01218248572485","92.9022703287216","100 - 6.79 - 1.22","http://nonlinear.com/redirect/outbound?p=chemspider&param=1600","Meglutol",,"143.034496747316","1","5.5905","20.8879796282106"
"5.59_143.0345m/z","CSID167943",,"M-H2O-H","C6H10O5","37.9","0","-3.01218248572485","92.9022703287216","100 - 6.79 - 1.22","http://nonlinear.com/redirect/outbound?p=chemspider&param=167943","a-Hydroxyadipic acid",,"143.034496747316","1","5.5905","20.8879796282106"
"5.59_143.0345m/z","CSID17229508",,"M-H2O-H","C6H10O5","37.9","0","-3.01218248572485","92.9022703287216","100 - 6.79 - 1.22","http://nonlinear.com/redirect/outbound?p=chemspider&param=17229508","3,6-Anhydro-D-glucose",,"143.034496747316","1","5.5905","20.8879796282106"
"5.59_143.0345m/z","CSID17229511",,"M-H2O-H","C6H10O5","37.9","0","-3.01218248572485","92.9022703287216","100 - 6.79 - 1.22","http://nonlinear.com/redirect/outbound?p=chemspider&param=17229511","3,6-anhydrogalactose",,"143.034496747316","1","5.5905","20.8879796282106"
"5.59_143.0345m/z","CSID2275",,"2M-H","C3H4O2","37.3","0","-3.32416827395828","90.5290393910764","100 - 3.37 - 0.45","http://nonlinear.com/redirect/outbound?p=chemspider&param=2275",".beta.-Propiolactone",,"143.034496747316","1","5.5905","20.8879796282106"
