,,,,,,,,,,,,,"Normalised abundance",,,,,,,,"Raw abundance",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Solvent","SPE Blank","Filter Blank","Hyperalkaline",,"Contact","Alkaline",,"Solvent","SPE Blank","Filter Blank","Hyperalkaline",,"Contact","Alkaline",,,,,,,,,,,
"Compound","Neutral mass (Da)","m/z","Charge","Retention time (min)","Chromatographic peak width (min)","Identifications","Max Fold Change","Highest Mean","Lowest Mean","Isotope Distribution","Maximum Abundance","Minimum CV%","XS1_2017_05_08_LS_001","XS1_2017_07_28_LS_004","XS1_2017_07_28_LS_010","XS1_2017_05_08_LS_002","XS1_2017_05_08_LS_006","XS1_2017_05_08_LS_003","XS1_2017_05_08_LS_004","XS1_2017_05_08_LS_005","XS1_2017_05_08_LS_001","XS1_2017_07_28_LS_004","XS1_2017_07_28_LS_010","XS1_2017_05_08_LS_002","XS1_2017_05_08_LS_006","XS1_2017_05_08_LS_003","XS1_2017_05_08_LS_004","XS1_2017_05_08_LS_005","Accepted Compound ID","Accepted Description","Adducts","Formula","Score","Fragmentation Score","Mass Error (ppm)","Isotope Similarity","Retention Time Error (mins)","Compound Link"
"0.27_426.0344n","426.034361618467","471.033406509657","1","0.265","0.0528666666666667","0","Infinity","Filter Blank","Solvent","100 - 48.5 - 51.7 - 20.5","33265.038031038","47.10","0","0","33265.038031038","25787.8080218341","8865.94882521085","16957.4309843613","34416.9811905838","17218.3680144591","0","0","1837.60545501084","23776.9003751126","13645.6717137407","16957.4309843613","21597.0176241724","15981.9559806361",,,"M+Cl, M+FA-H",,,,,,,
"0.27_270.0098n","270.009804624005","304.979205924005","1","0.265","0.0705","0","Infinity","Filter Blank","Solvent","100 - 20.7 - 15.7 - 4.15","153579.075116521","49.03","0","0","153579.075116521","13722.6227290585","5826.2948362383","10341.791028918","22374.3354353497","10853.4851924856","0","0","8483.91473192709","12652.5462434737","8967.30944540274","10341.791028918","14040.1307729626","10074.1209873739",,,"M+Cl, M+FA-H",,,,,,,
"0.27_321.9994n","321.999382728272","643.016055699494","1","0.273816666666667","0.165883333333333","0","Infinity","Filter Blank","Solvent","100 - 32.6","104121.025728353","28.50","0","0","104121.025728353","15905.174008159","9877.42023336814","12906.433587715","19586.5037944408","13016.6252538056","0","0","5751.78554376585","14664.9043424177","15202.4376116334","12906.433587715","12290.7371016081","12081.9308570977",,,"M-H, 2M-H",,,,,,,
"0.30_652.0526n","652.0526125778","633.0347714578","1","0.30025","0.139433333333333","0","Infinity","Filter Blank","Solvent","100 - 26.4","270535.244649865","9.45","0","0","270535.244649865","14706.6822850205","16813.3586538066","25452.0174474674","39605.3187561182","29258.0731645416","0","0","14944.7308876494","13559.8698130255","25877.610746278","25452.0174474674","24852.7540068176","27157.1171554275",,,"M-H2O-H, M+Cl",,,,,,,
"0.30_306.0300n","306.029973887097","611.040427201287","1","0.30025","0.14825","0","Infinity","Filter Blank","Solvent","100 - 19.6 - 32.9","303053.659437967","12.39","0","0","303053.659437967","22590.9441355407","26927.8707582974","43310.0206493091","77505.0452273019","48854.5673031969","0","0","16741.0918702271","20829.3247582616","41444.9588602296","43310.0206493091","48635.2309189242","45346.4314061034",,,"M-H, 2M-H",,,,,,,
"0.30_570.0504n","570.050373201653","551.032532081653","1","0.30025","0.139433333333333","0","Infinity","Filter Blank","Solvent","100 - 23.8","304218.738149159","17.64","0","0","304218.738149159","15111.3589028943","19419.0503178556","26549.0991826212","41083.7037894731","30806.4074443275","0","0","16805.452385709","13932.9901503251","29888.0572011161","26549.0991826212","25780.4561618635","28594.2690551934",,,"M-H2O-H, M+Cl",,,,,,,
"0.33_491.9764n","491.976437160401","472.958596040401","1","0.326683333333333","0.139433333333333","0","Infinity","Filter Blank","Solvent","100 - 22.6","262460.276666736","37.03","0","0","262460.276666736","14150.8448994907","4557.9845884031","8367.40218393975","13940.1751816767","8154.58879275128","0","0","14498.6587923465","13047.3760745381","7015.2402857073","8367.40218393975","8747.60652061755","7569.02622922786",,,"M-H2O-H, M-H",,,,,,,
"0.34_241.9767n","241.976748607718","240.969472175718","1","0.3443","1.24768333333333","0","454.714328926406","Filter Blank","Solvent","100 - 8.59","1880341.50946637","41.65","4135.21499070837","85563.8914231832","1880341.50946637","5548.27281619425","2838.78504448156","6872.50391041085","11539.4679295944","6288.55668588776","843.732047299467","3280.37816586714","103872.594760142","5115.62401476315","4369.20283960144","6872.50391041085","7241.13747423045","5836.98966424663",,,"M-H, M+Cl",,,,,,,
"0.30_488.0469n","488.04692281995","469.02908169995","1","0.30025","0.14825","0","Infinity","Filter Blank","Solvent","100 - 19","285955.592854813","16.30","0","0","285955.592854813","15177.9960963395","19133.429970328","26001.6683142228","38855.1097472018","29274.2770797416","0","0","15796.5716687463","13994.4310416363","29448.4560288148","26001.6683142228","24381.9899645659","27172.1575041542",,,"M-H2O-H, M+Cl",,,,,,,
"3.25_130.0621n","130.062120510265","129.054899982632","1","3.2507","0.697183333333333","0","52.638256862561","Alkaline","Solvent","100 - 7.96","47026.425209644","40.77","893.388725474523","12378.0474298502","21089.4849960995","9317.79429276653","4824.85704112865","10742.1227653264","60583.5589724299","33469.291446858","182.283315395352","474.553878389252","1165.01152459354","8591.20195199692","7425.98638306557","10742.1227653264","38016.8203485734","31065.9373848658",,,"M-H2O-H, M-H",,,,,,,
"3.10_339.2517n","339.251679727974","374.221081027974","1","3.10245","0.208383333333333","0","Infinity","Contact","Filter Blank","100 - 22.6","57478.8148696233","44.69","2043.60449293376","33860.8651502138","0","8383.70574370721","90978.8113098714","57478.8148696233","6818.44664178992","13119.2574237722","416.968550986518","1298.16960015025","0","7729.95269988086","140026.410767304","57478.8148696233","4278.64697013299","12177.193243244",,,"M+Cl, M+FA-H",,,,,,,
"6.28_180.0420n","180.041966258937","225.043389198686","1","6.28041666666667","0.1923","0","239.07238127956","SPE Blank","Solvent","100 - 16.1","36425.4009715832","25.62","152.361392715577","36425.4009715832","6527.60621712574","4378.97085262883","35224.4173448227","6268.43917714276","4281.43487122325","6176.22771694894","31.0871841232348","1396.48966453812","360.59374955654","4037.50305649563","54214.2578162032","6268.43917714276","2686.64540502618","5732.72678431383",,,"M-H, M+FA-H",,,,,,,
"0.45_335.9259n","335.925915457594","370.895316757594","1","0.4485","0.540166666666667","0","3720.07097804251","Filter Blank","Solvent","100 - 19.6","751203.798510391","25.55","201.932652076889","9058.56505309244","751203.798510391","2823.14920197612","91.5875123299529","1469.59643839297","1276.76922734999","1839.92091325565","41.2014974641642","347.29041094314","41497.5084856226","2603.0028322931","140.963268677901","1469.59643839297","801.186116597079","1707.80035708438",,,"M+Cl, M+FA-H",,,,,,,
"0.30_336.0092n","336.009153059221","671.046091711585","1","0.30025","0.165883333333333","0","Infinity","Filter Blank","SPE Blank","100 - 32.9","176078.284310802","41.59","0.7966406875549","0","176078.284310802","22285.624681631","12156.0736659216","27343.2488433929","45892.6537179555","22850.6348728854","0.162543248605706","0","9726.80131784541","20547.8138120018","18709.5362090893","27343.2488433929","28798.1228126391","21209.7825044375",,,"M+FA-H, 2M-H",,,,,,,
