"mz" "Retention_Time" "NSHQ.14" "WAB.71" "WAB.104" "WAB.105" "WAB.55" "classifier"
607.586308840547 573.227 0 9.04690749516536 0 0 0 "WAB.71"
563.552967366397 574.813 0 9.86974350529231 0 0 0 "WAB.71"
457.503271081351 588.902 0 9.38050776530129 0 0 0 "WAB.71"
475.517484732308 579.478 0 9.52989321258648 0 0 0 "WAB.71"
563.646270314182 574.813 0 8.4453905668613 0 0 0 "WAB.71"
593.567848203662 570.583 0 9.09075205488183 0 0 0 "WAB.71"
337.350597526966 569.526 0 7.95556397107605 0 0 0 "WAB.71"
535.51441468295 568.997 0 8.32232945566069 0 0 0 "WAB.71"
637.600687491644 568.997 0 8.78508095149713 0 0 0 "WAB.71"
347.37321991013 567.504 8.42170259958178 0 0 0 0 "NSHQ.14"
293.439270604367 566.446 2.72463986768364 7.83656438507949 0 0 0 "WAB.71"
293.315261432739 565.918 6.00942125560729 9.22120707920879 0 0 0 "WAB.71"
320.49773977791 565.389 7.95838397350377 0 0 3.55148959046335 0 "NSHQ.14"
320.36753926145 565.389 8.32485020640865 0 0 5.38001915349655 0 "NSHQ.14"
515.556713120315 562.217 0 8.9343784364303 0 0 0 "WAB.71"
515.472068145591 562.217 0 9.98949560409173 0 0 0 "WAB.71"
319.407029843724 561.688 8.93545716341689 0 0 0 0 "NSHQ.14"
471.518848498246 561.688 0 9.87053936869162 0 0 0 "WAB.71"
319.336490266599 561.688 9.91084299830245 0 0 0 0 "NSHQ.14"
428.48333990307 561.16 0 8.63402558338834 0 0 0 "WAB.71"
383.501879512866 560.631 0 10.3725158595214 0 0 0 "WAB.71"
383.437327605984 560.631 0 11.0865443299528 0 0 0 "WAB.71"
339.458893611393 559.574 0 9.96676992306869 0 0 0 "WAB.71"
545.576951862086 559.045 0 8.15161346205158 0 0 0 "WAB.71"
295.359297940695 559.045 3.17872166052593 9.48155588264112 0 0 0 "WAB.71"
501.454667966309 559.045 0 9.61301599054529 0 0 0 "WAB.71"
295.296889759701 559.045 6.85865895213802 10.0482176966662 0 0 0 "WAB.71"
413.456883444253 558.08 0 10.4251981454782 0 0 0 "WAB.71"
413.385632977149 558.08 0 10.8635189075651 4.2671130036827 0 0 "WAB.71"
370.426290034601 557.551 0 8.56105444251397 0 0 0 "WAB.71"
369.480562576717 557.551 0 10.1162786053634 0 0 0 "WAB.71"
323.463932612756 557.023 7.78481249746847 0 0 0 0 "NSHQ.14"
291.424845544431 556.494 8.27894963724621 0 0 0 0 "NSHQ.14"
325.591565965069 555.965 0 8.53122527726783 0 0 0 "WAB.71"
325.437099728707 555.965 6.02576502040828 10.2614074624429 0 0 0 "WAB.71"
251.318718869709 555.437 8.47523642567797 9.57166852618911 0 0 0 "WAB.71"
